rtid,tid,from,to
1001294466123100161,1001180489171038208,3133990387,1368737382
1001294504584921088,1001294221066756096,767394975894175744,332188446
1001294573946130432,1001292216961155072,783355097854124032,936695288
1001294591184650240,1001180489171038208,938076087858294790,1368737382
1001294626999779328,1001292216961155072,3299645982,936695288
1001294665377759232,1001180489171038208,957649000999534592,1368737382
1001294720910352384,1001180489171038208,91957168,1368737382
1001294722344796160,1001294221066756096,2420004492,332188446
1001294781207621632,1001180489171038208,3313415081,1368737382
1001294835133726721,1001180489171038208,906365410844356608,1368737382
1001294850115883008,1001294221066756096,2271372289,332188446
1001294858529603584,1001180489171038208,390590938,1368737382
1001294889282392064,1000997624948944896,905799021834338306,1153045459
1001294912757776390,1001292216961155072,2420004492,936695288
1001294977421328384,1001294221066756096,924019179744780288,332188446
1001295183508525056,1001180489171038208,509135469,1368737382
1001295261052747776,1001180489171038208,892240937337991168,1368737382
1001295297132154887,1001294221066756096,109777280,332188446
1001295517169659904,1001085541671100418,905799021834338306,59983585
1001295652901421056,1001294221066756096,1574948251,332188446
1001295693024149505,1001180489171038208,780079744339496960,1368737382
1001295804424900608,1001180489171038208,3144558403,1368737382
1001295810326290433,1001292216961155072,924019179744780288,936695288
1001295818836459520,1001180489171038208,417763872,1368737382
1001295918333808640,1001119904433455104,4576894459,1642669674
1001295991499177984,1001295498081325056,83348756,1317479546
1001296036285956097,1001070357078466560,950259645385342977,333888813
1001296098437169152,1001180489171038208,940180103631323138,1368737382
1001296262920982528,1001180489171038208,1913668759,1368737382
1001296344261181442,1001180489171038208,563566879,1368737382
1001296438813380610,1001274651664928768,15796073,50279201
1001296520971370498,1001294221066756096,42043572,332188446
1001296638995058688,1001180489171038208,2152516406,1368737382
1001296662185365509,1001180489171038208,3019172041,1368737382
1001296804191748096,1001180489171038208,2161088460,1368737382
1001296852971483136,1001031711889608704,783915242333941760,1897514666
1001296947259437057,1001108949167325184,957649000999534592,141208596
1001296973452853249,1001180489171038208,939470336839446528,1368737382
1001297168974561280,1001294221066756096,31371663,332188446
1001297330581180417,1001297112091381761,809358061290848256,3368357230
1001297407504613377,1000997624948944896,862621723769884675,1153045459
1001297496780431360,1001148577110835200,4328489794,313975612
1001297511624011776,1001292216961155072,1261008930,936695288
1001297537477865473,1001180489171038208,2359370768,1368737382
1001297671389417472,1001180489171038208,131847262,1368737382
1001297754788741120,1001274651664928768,324231918,50279201
1001297949031219200,1001274651664928768,823922117049597953,50279201
1001298162903011328,1001180489171038208,1512531870,1368737382
1001298166933680128,1000997624948944896,934438324193783810,1153045459
1001298230297092096,1001112228639092739,957649000999534592,141208596
1001298505472749568,1001274651664928768,935084363321974784,50279201
1001298519435563008,1001180489171038208,997192876495781889,1368737382
1001298883786428416,1000623067264004097,137606994,1673916488
1001299003676528642,1001112228639092739,3300395233,141208596
1001299062803447809,1001280433017962496,3185932938,254937160
1001299062984007680,1001273520045768704,902908361410199552,37034483
1001299069321400321,1001180489171038208,915955962023862273,1368737382
1001299078544699392,1001280627163910145,3185932938,254937160
1001299079031345154,1001180489171038208,2370590508,1368737382
1001299082982277121,1001085541671100418,512893822,59983585
1001299092675350529,1001280745497804800,3185932938,254937160
1001299110182379521,1001281063568654336,3185932938,254937160
1001299120500297728,1001281193478766592,3185932938,254937160
1001299181250658305,1001180489171038208,2914012466,1368737382
1001299184522182657,1001114038670065664,923892620178235392,2387321592
1001299313937416192,1001297112091381761,125087915,3368357230
1001299381448884224,1001270512482316289,3823409892,39462584
1001299486956810240,1001274651664928768,2926939681,50279201
1001299667081023488,1001294221066756096,70622966,332188446
1001299849524822017,1001281193478766592,710042607389290497,254937160
1001299859951898625,1001118891651690498,2327148534,2477973056
1001299900028538885,1001180489171038208,3106803319,1368737382
1001300035248635904,1001180489171038208,155004791,1368737382
1001300068685594624,1001180489171038208,80267204,1368737382
1001300184431673344,1001180489171038208,2534793048,1368737382
1001300236814307328,1001180489171038208,781509340129701889,1368737382
1001300256426938368,1001180489171038208,710042607389290497,1368737382
1001300289255702528,1001180489171038208,2847588895,1368737382
1001300303780634624,1001180489171038208,554218717,1368737382
1001300435087507456,1001180489171038208,3261458155,1368737382
1001300779993415680,1001298978070151169,2517229459,134758540
1001300927700262914,1001292216961155072,112370466,936695288
1001300972017078272,1001298978070151169,299259954,134758540
1001300977826197505,1001180489171038208,363530470,1368737382
1001300983404621825,1001180489171038208,717093678611701760,1368737382
1001300986281930752,1001180489171038208,931760760820154368,1368737382
1001301158017695745,1001180489171038208,359541330,1368737382
1001301197461090304,1001180489171038208,2517229459,1368737382
1001301369070878720,1001281193478766592,3066400088,254937160
1001301416042938368,1001281063568654336,3066400088,254937160
1001301426025385984,1001180489171038208,4646093532,1368737382
1001301446803865600,1001280745497804800,3066400088,254937160
1001301541821689856,1001180489171038208,218648480,1368737382
1001301800987705344,1000997624948944896,912308190238224384,1153045459
1001301851558432768,1001180489171038208,2151474931,1368737382
1001301881585618945,1001180489171038208,919039733308604416,1368737382
1001301935108997121,1000924645565063168,111501949,29417304
1001301962611027968,1001298978070151169,998877243756589057,134758540
1001301981661560832,1001180489171038208,170224017,1368737382
1001302192983166981,1001180489171038208,3143324610,1368737382
1001302233592426496,1001180489171038208,2920695007,1368737382
1001302265804636161,1000948329889529857,892720415352795136,2892809359
1001302273350250496,1001292216961155072,3034607130,936695288
1001302292325421058,1001180489171038208,989871065936478208,1368737382
1001302481396056064,1001180489171038208,730252188,1368737382
1001302526296182785,1001180489171038208,1001297049034227712,1368737382
1001302560576241664,1001085541671100418,4849625408,59983585
